Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsAtCompany
33,Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,Male,3,1,Research Scientist,1,3348,1,Yes,11,3,10
32,Yes,Travel_Rarely,Sales,4,Medical,4,Male,1,3,Sales Executive,4,10400,1,No,11,3,14
40,Yes,Travel_Rarely,Research & Development,9,Life Sciences,4,Male,3,1,Laboratory Technician,1,2018,3,No,14,3,5
42,No,Travel_Rarely,Research & Development,7,Medical,2,Female,4,2,Research Scientist,2,2372,6,Yes,16,3,1
43,No,Travel_Frequently,Research & Development,27,Life Sciences,3,Female,3,3,Manufacturing Director,1,10820,8,No,11,3,8
35,No,Travel_Rarely,Human Resources,8,Technical Degree,3,Male,3,1,Human Resources,3,4323,1,No,17,3,5
34,No,Travel_Frequently,Research & Development,3,Life Sciences,1,Male,3,2,Healthcare Representative,4,7756,0,No,17,3,6
30,No,Travel_Frequently,Research & Development,2,Technical Degree,4,Female,2,1,Research Scientist,1,4968,0,No,16,3,9
37,No,Travel_Rarely,Sales,6,Medical,3,Male,3,2,Sales Executive,4,6502,4,No,14,3,5
26,Yes,Travel_Frequently,Human Resources,17,Life Sciences,2,Female,3,1,Human Resources,3,2741,0,Yes,11,3,7
38,No,Travel_Frequently,Research & Development,2,Life Sciences,1,Female,4,2,Manufacturing Director,1,5980,6,Yes,12,3,15
42,No,Travel_Rarely,Sales,4,Marketing,2,Male,3,2,Sales Executive,1,5155,7,No,13,3,6
32,No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,3068,0,No,13,3,7
42,No,Travel_Rarely,Human Resources,2,Technical Degree,3,Male,3,1,Human Resources,3,2696,0,Yes,11,3,3
33,No,Travel_Frequently,Sales,7,Medical,4,Male,3,2,Sales Executive,1,4373,0,No,14,3,4
29,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Female,2,4,Research Director,4,16124,3,No,14,3,7
36,No,Travel_Rarely,Research & Development,14,Life Sciences,3,Male,3,2,Healthcare Representative,4,6586,0,Yes,17,3,16
42,No,Travel_Rarely,Research & Development,17,Life Sciences,4,Female,4,2,Research Scientist,1,6545,3,Yes,13,3,3
37,No,Travel_Rarely,Research & Development,14,Life Sciences,4,Female,3,1,Laboratory Technician,1,3034,1,No,12,3,18
33,No,Travel_Frequently,Sales,5,Life Sciences,2,Male,3,2,Sales Executive,4,9998,6,No,13,3,5
37,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Female,3,1,Research Scientist,4,2115,1,No,12,3,17
37,Yes,Travel_Rarely,Sales,1,Life Sciences,1,Male,2,3,Sales Executive,3,10609,5,No,11,3,14
55,No,Travel_Rarely,Research & Development,8,Medical,4,Female,3,4,Manager,3,14756,2,Yes,14,3,5
37,Yes,Travel_Rarely,Research & Development,11,Medical,1,Female,1,2,Healthcare Representative,2,4777,5,No,15,3,1
35,Yes,Travel_Rarely,Research & Development,23,Life Sciences,2,Male,2,2,Manufacturing Director,3,5916,3,Yes,13,3,1
32,Yes,Travel_Frequently,Research & Development,5,Life Sciences,1,Female,4,1,Research Scientist,3,2432,3,Yes,14,3,4
34,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,4,1,Research Scientist,4,3280,2,No,16,3,4
40,Yes,Non-Travel,Sales,24,Life Sciences,2,Female,4,4,Sales Executive,2,13194,4,Yes,16,3,1
35,No,Travel_Rarely,Research & Development,4,Other,3,Male,3,1,Laboratory Technician,4,1951,1,No,12,3,1
31,Yes,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,3,1,Research Scientist,3,4084,1,No,12,3,7
31,No,Travel_Rarely,Research & Development,11,Medical,3,Male,3,2,Healthcare Representative,1,6833,1,Yes,12,3,6
36,Yes,Travel_Rarely,Sales,3,Life Sciences,3,Male,2,3,Sales Executive,4,10325,1,Yes,11,3,16
30,Yes,Travel_Frequently,Sales,26,Marketing,3,Female,2,2,Sales Executive,1,6696,5,No,15,3,6
34,No,Travel_Rarely,Research & Development,29,Medical,2,Male,3,2,Laboratory Technician,3,5429,4,No,13,3,8
27,No,Travel_Frequently,Research & Development,1,Technical Degree,3,Male,2,2,Manufacturing Director,1,4298,5,No,19,3,2
36,No,Travel_Frequently,Research & Development,3,Medical,4,Male,3,1,Laboratory Technician,2,2088,4,No,12,3,8
